team,rating,matches,last_date
Guinea-Bissau,1460.8,49518,2026-07-19
Rouet-Provence,1458.0,49518,2026-07-19
Belize,1457.6,49518,2026-07-19
Turks and Caicos Islands,1457.5,49518,2026-07-19
Central African Republic,1457.3,49518,2026-07-19
Bangladesh,1457.1,49518,2026-07-19
Montserrat,1456.7,49518,2026-07-19
Grenada,1456.5,49518,2026-07-19
Congo,1454.0,49518,2026-07-19
Raetia,1453.7,49518,2026-07-19
Botswana,1453.0,49518,2026-07-19
Cyprus,1452.8,49518,2026-07-19
Frøya,1452.7,49518,2026-07-19
Dominica,1452.1,49518,2026-07-19
Eswatini,1450.4,49518,2026-07-19
Sri Lanka,1447.4,49518,2026-07-19
Azerbaijan,1447.4,49518,2026-07-19
Guam,1446.9,49518,2026-07-19
Bermuda,1446.6,49518,2026-07-19
Bonaire,1446.2,49518,2026-07-19
Latvia,1445.7,49518,2026-07-19
Mongolia,1443.2,49518,2026-07-19
Solomon Islands,1442.6,49518,2026-07-19
Armenia,1442.3,49518,2026-07-19
Mauritius,1440.5,49518,2026-07-19
Afghanistan,1440.4,49518,2026-07-19
São Tomé and Príncipe,1440.1,49518,2026-07-19
Saint Lucia,1439.6,49518,2026-07-19
Myanmar,1439.6,49518,2026-07-19
South Sudan,1439.2,49518,2026-07-19
Somalia,1438.4,49518,2026-07-19
Cayman Islands,1437.5,49518,2026-07-19
American Samoa,1433.7,49518,2026-07-19
Lithuania,1432.9,49518,2026-07-19
India,1432.1,49518,2026-07-19
Barbados,1432.0,49518,2026-07-19
Moldova,1425.5,49518,2026-07-19
Nepal,1425.0,49518,2026-07-19
Chad,1422.8,49518,2026-07-19
Macau,1422.4,49518,2026-07-19
Antigua and Barbuda,1415.0,49518,2026-07-19
Timor-Leste,1413.0,49518,2026-07-19
Djibouti,1412.6,49518,2026-07-19
Gibraltar,1408.3,49518,2026-07-19
Laos,1408.2,49518,2026-07-19
Brunei,1407.4,49518,2026-07-19
Anguilla,1404.4,49518,2026-07-19
Taiwan,1403.1,49518,2026-07-19
Bhutan,1402.9,49518,2026-07-19
Andorra,1397.7,49518,2026-07-19
Seychelles,1385.9,49518,2026-07-19
Bahamas,1385.8,49518,2026-07-19
Maldives,1385.8,49518,2026-07-19
Liechtenstein,1342.4,49518,2026-07-19
San Marino,1328.7,49518,2026-07-19
